city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age_35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age_45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age_55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age_65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age_75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age_85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age_95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,447359,24526,3816,4525,4851,5436,5898,27276,5531,6200,5779,4795,4971,25245,5094,5355,4982,4890,4924,26438,4800,5132,5164,5853,5489,27462,5097,5392,5766,5765,5442,27663,5545,5576,5307,5633,5602,29770,5747,5614,5591,6012,6806,41631,7374,7910,8487,8916,8944,41155,8759,8195,8887,7895,7419,34833,6955,6903,6999,7036,6940,31927,6896,6382,6099,6283,6267,29277,6105,6073,5903,5610,5586,25447,5606,5032,4881,4925,5003,20555,4611,4332,4313,3948,3351,11995,3206,2624,2466,1732,1967,9432,2067,1982,1881,1803,1699,6344,1569,1332,1285,1103,1055,3908,890,849,770,731,668,1910,529,461,374,310,236,498,192,128,77,63,38,67
新竹市,總計,男,220553,12590,1924,2341,2466,2795,3064,14155,2867,3174,3051,2494,2569,13274,2713,2882,2548,2590,2541,13732,2505,2689,2671,3034,2833,14236,2683,2795,2992,2968,2798,14225,2803,2883,2749,2955,2835,14725,2935,2829,2763,2959,3239,19929,3561,3796,4060,4239,4273,19947,4209,3911,4328,3852,3647,17087,3472,3353,3412,3479,3371,15865,3399,3184,3022,3125,3135,14351,3037,2973,2939,2716,2686,12090,2730,2453,2231,2334,2342,9588,2202,2024,1994,1835,1533,5419,1450,1230,1133,767,839,3931,894,832,794,735,676,2533,638,530,515,432,418,1688,346,354,357,327,304,927,236,221,190,162,118,228,91,55,33,29,20,33
新竹市,總計,女,226806,11936,1892,2184,2385,2641,2834,13121,2664,3026,2728,2301,2402,11971,2381,2473,2434,2300,2383,12706,2295,2443,2493,2819,2656,13226,2414,2597,2774,2797,2644,13438,2742,2693,2558,2678,2767,15045,2812,2785,2828,3053,3567,21702,3813,4114,4427,4677,4671,21208,4550,4284,4559,4043,3772,17746,3483,3550,3587,3557,3569,16062,3497,3198,3077,3158,3132,14926,3068,3100,2964,2894,2900,13357,2876,2579,2650,2591,2661,10967,2409,2308,2319,2113,1818,6576,1756,1394,1333,965,1128,5501,1173,1150,1087,1068,1023,3811,931,802,770,671,637,2220,544,495,413,404,364,983,293,240,184,148,118,270,101,73,44,34,18,34
新竹市,東區,計,216986,12906,1933,2283,2550,2923,3217,15825,3097,3505,3342,2863,3018,14909,3114,3245,3094,2792,2664,13169,2512,2586,2563,2865,2643,12472,2385,2514,2641,2529,2403,12265,2486,2487,2325,2491,2476,13664,2623,2564,2569,2760,3148,19971,3439,3704,4112,4303,4413,20633,4330,4105,4472,4019,3707,16833,3392,3391,3359,3420,3271,14790,3271,2951,2826,2876,2866,13083,2816,2696,2604,2522,2445,11409,2538,2265,2197,2202,2207,9151,1970,1959,1930,1771,1521,5431,1454,1179,1139,783,876,4321,932,906,861,826,796,3061,756,646,633,525,501,1868,411,414,370,346,327,932,262,226,173,157,114,256,88,66,45,36,21,37
新竹市,東區,男,106554,6610,960,1164,1289,1518,1679,8230,1613,1798,1778,1480,1561,7873,1659,1765,1592,1475,1382,6770,1304,1332,1297,1474,1363,6471,1255,1318,1353,1321,1224,6291,1266,1276,1188,1311,1250,6650,1340,1269,1258,1325,1458,9383,1630,1772,1951,1986,2044,9711,1965,1899,2106,1953,1788,8172,1679,1637,1589,1676,1591,7394,1646,1502,1384,1420,1442,6488,1398,1311,1305,1260,1214,5437,1235,1099,1016,1050,1037,4284,952,943,904,803,682,2410,635,543,509,349,374,1774,391,371,351,320,341,1204,296,267,234,197,210,814,156,172,185,154,147,449,113,111,86,81,58,117,39,32,19,15,12,22
新竹市,東區,女,110432,6296,973,1119,1261,1405,1538,7595,1484,1707,1564,1383,1457,7036,1455,1480,1502,1317,1282,6399,1208,1254,1266,1391,1280,6001,1130,1196,1288,1208,1179,5974,1220,1211,1137,1180,1226,7014,1283,1295,1311,1435,1690,10588,1809,1932,2161,2317,2369,10922,2365,2206,2366,2066,1919,8661,1713,1754,1770,1744,1680,7396,1625,1449,1442,1456,1424,6595,1418,1385,1299,1262,1231,5972,1303,1166,1181,1152,1170,4867,1018,1016,1026,968,839,3021,819,636,630,434,502,2547,541,535,510,506,455,1857,460,379,399,328,291,1054,255,242,185,192,180,483,149,115,87,76,56,139,49,34,26,21,9,15
新竹市,北區,計,152018,7552,1170,1460,1462,1652,1808,8186,1650,1923,1786,1406,1421,7248,1439,1519,1347,1438,1505,8565,1433,1669,1720,1893,1850,9616,1759,1831,2002,2069,1955,9669,1932,1921,1874,1946,1996,10259,2006,1912,1942,2083,2316,13962,2533,2690,2807,2974,2958,13457,2892,2619,2985,2527,2434,11798,2291,2297,2429,2348,2433,11333,2388,2330,2162,2244,2209,10507,2109,2195,2153,2012,2038,9365,2014,1882,1792,1827,1850,7763,1761,1556,1656,1483,1307,4511,1209,1006,920,644,732,3583,807,746,691,693,646,2272,539,491,451,425,366,1448,327,305,280,279,257,733,204,173,145,120,91,180,76,47,22,21,14,11
新竹市,北區,男,74249,3876,607,775,746,836,912,4219,844,969,947,729,730,3809,778,808,667,771,785,4447,720,874,904,992,957,4927,912,927,1024,1051,1013,5028,993,1009,975,1024,1027,5104,1021,972,947,1037,1127,6576,1196,1252,1321,1384,1423,6549,1446,1228,1468,1215,1192,5708,1115,1084,1192,1150,1167,5523,1139,1124,1071,1098,1091,5055,1065,1065,1048,954,923,4372,975,911,786,851,849,3586,823,701,757,696,609,2026,544,471,430,282,299,1463,357,304,280,286,236,906,221,185,189,172,139,607,125,123,114,126,119,370,91,82,82,67,48,92,42,19,10,14,7,6
新竹市,北區,女,77769,3676,563,685,716,816,896,3967,806,954,839,677,691,3439,661,711,680,667,720,4118,713,795,816,901,893,4689,847,904,978,1018,942,4641,939,912,899,922,969,5155,985,940,995,1046,1189,7386,1337,1438,1486,1590,1535,6908,1446,1391,1517,1312,1242,6090,1176,1213,1237,1198,1266,5810,1249,1206,1091,1146,1118,5452,1044,1130,1105,1058,1115,4993,1039,971,1006,976,1001,4177,938,855,899,787,698,2485,665,535,490,362,433,2120,450,442,411,407,410,1366,318,306,262,253,227,841,202,182,166,153,138,363,113,91,63,53,43,88,34,28,12,7,7,5
新竹市,香山區,計,78355,4068,713,782,839,861,873,3265,784,772,651,526,532,3088,541,591,541,660,755,4704,855,877,881,1095,996,5374,953,1047,1123,1167,1084,5729,1127,1168,1108,1196,1130,5847,1118,1138,1080,1169,1342,7698,1402,1516,1568,1639,1573,7065,1537,1471,1430,1349,1278,6202,1272,1215,1211,1268,1236,5804,1237,1101,1111,1163,1192,5687,1180,1182,1146,1076,1103,4673,1054,885,892,896,946,3641,880,817,727,694,523,2053,543,439,407,305,359,1528,328,330,329,284,257,1011,274,195,201,153,188,592,152,130,120,106,84,245,63,62,56,33,31,62,28,15,10,6,3,19
新竹市,香山區,男,39750,2104,357,402,431,441,473,1706,410,407,326,285,278,1592,276,309,289,344,374,2515,481,483,470,568,513,2838,516,550,615,596,561,2906,544,598,586,620,558,2971,574,588,558,597,654,3970,735,772,788,869,806,3687,798,784,754,684,667,3207,678,632,631,653,613,2948,614,558,567,607,602,2808,574,597,586,502,549,2281,520,443,429,433,456,1718,427,380,333,336,242,983,271,216,194,136,166,694,146,157,163,129,99,423,121,78,92,63,69,267,65,59,58,47,38,108,32,28,22,14,12,19,10,4,4,0,1,5
新竹市,香山區,女,38605,1964,356,380,408,420,400,1559,374,365,325,241,254,1496,265,282,252,316,381,2189,374,394,411,527,483,2536,437,497,508,571,523,2823,583,570,522,576,572,2876,544,550,522,572,688,3728,667,744,780,770,767,3378,739,687,676,665,611,2995,594,583,580,615,623,2856,623,543,544,556,590,2879,606,585,560,574,554,2392,534,442,463,463,490,1923,453,437,394,358,281,1070,272,223,213,169,193,834,182,173,166,155,158,588,153,117,109,90,119,325,87,71,62,59,46,137,31,34,34,19,19,43,18,11,6,6,2,14
