"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","216,755","12,973","15,740","14,887","13,190","12,473","12,236","13,634","20,037","20,592","16,813","14,727","13,055","11,402","9,114","5,407","4,333","3,051","1,872","930",251,38
"新竹市","東區","男","106,463","6,663","8,162","7,863","6,771","6,476","6,299","6,623","9,421","9,685","8,175","7,360","6,484","5,435","4,266","2,405","1,780","1,188","819","451",116,21
"新竹市","東區","女","110,292","6,310","7,578","7,024","6,419","5,997","5,937","7,011","10,616","10,907","8,638","7,367","6,571","5,967","4,848","3,002","2,553","1,863","1,053","479",135,17
"新竹市","北區","計","152,015","7,601","8,172","7,244","8,589","9,651","9,628","10,311","14,001","13,398","11,826","11,276","10,489","9,360","7,737","4,508","3,566","2,278","1,452","739",177,12
"新竹市","北區","男","74,244","3,891","4,220","3,817","4,457","4,955","4,995","5,120","6,583","6,522","5,748","5,487","5,041","4,360","3,579","2,016","1,463","902","615","377",90,6
"新竹市","北區","女","77,771","3,710","3,952","3,427","4,132","4,696","4,633","5,191","7,418","6,876","6,078","5,789","5,448","5,000","4,158","2,492","2,103","1,376","837","362",87,6
"新竹市","香山區","計","78,311","4,097","3,259","3,102","4,708","5,372","5,737","5,850","7,710","7,048","6,198","5,779","5,681","4,663","3,605","2,053","1,529","1,003","593","245",60,19
"新竹市","香山區","男","39,740","2,123","1,701","1,608","2,505","2,837","2,917","2,970","3,965","3,695","3,199","2,935","2,806","2,276","1,703","984","691","421","270","110",19,5
"新竹市","香山區","女","38,571","1,974","1,558","1,494","2,203","2,535","2,820","2,880","3,745","3,353","2,999","2,844","2,875","2,387","1,902","1,069","838","582","323","135",41,14
"新竹縣","竹北市","計","190366","13766","15673","13741","11513","10617","9964","12309","19889","21331","17110","12411","9737","7399","5589","3292","2769","1784","962","420",76,14
"新竹縣","竹北市","男","94720","7157","8088","7168","6037","5527","5148","6036","9317","10048","8623","6259","4856","3616","2592","1569","1251","791","403","201",29,4
